sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
P_VM_R3,-6.480311226012093,-5.1304780956204405,-0.3504823778883642,-2.2699189439301275,-4.598573041224861,-2.41710796967259,-0.4252094781404617,0.20200513177269014,-1.5035919051350757,-0.563654410926069,-1.5965019893336478,-2.5963489086891838,-1.1571420674333226,-2.091366788247862,-3.003837929187034,3.636112482812645,10.049009776118705,-0.695127754207941,1.015381478378429,0.45448165186039635,-0.24104420438467386,7.818646432533606e-15
P_PIN_R1,14.445991922720578,23.978338167513943,41.66001305184506,-1.6948431008722737,-0.7328607480264466,-3.9258498872307137,0.08923344313185612,1.088951752921866,-0.6226403573545343,0.10158354545786855,0.25292536664409954,0.16547666444852824,0.0667115304763139,0.014989625492381737,0.009457107472124224,0.02291133203491599,-0.0011907139857781446,-0.01030730193717065,-0.00033508312741589084,-0.005237141865444401,-0.01297283023840394,7.818646432533585e-15
P_PIN_R2,-4.405979809879646,-0.43425923931075483,2.418537657877462,-0.7061702982585581,-0.24452546781817427,10.973334750593029,3.3309927041752068,-11.079458010364878,18.717774173739915,-8.9268611826989,-1.8778469469059718,0.3818905011151416,-0.19968175906541233,0.21251221587431127,-0.17521855661964356,-0.10092414249948174,0.06507384356012647,0.0010694249125422954,0.020971085966789933,-0.0158279494699314,-0.027521614937841162,7.818646432533596e-15
P_PIN_R3,-6.485777562453801,-5.030360816401197,-0.6842129038903447,-2.269081029411099,-4.024787580220836,-2.926869341363442,-0.4342913696902572,0.6688365836853428,-1.6244693989784453,-1.2775154278709884,-1.464573957585229,0.9714872747835348,0.08078555061318428,10.43238160166325,6.904911706736054,0.059149922781895854,2.150657322508029,-0.50451615665595,-0.6105103774568632,0.7182064817633935,0.46378229792948583,7.818646432533582e-15
P_RM_R1,77.59038551044897,-12.848353979266664,-6.595691492317955,-3.939202527626493,-0.16401021370434177,-0.03213650237083206,0.24861668658577435,-0.24800978253986158,0.15035773133731678,0.04885973145805819,-0.057899186572334504,-0.01768440018485224,0.007134213808960509,0.003987310207488331,0.009501695417626053,0.009579813056575796,0.008502034273727968,-0.0036948243107525055,0.0011891848244517612,3.9690952337366953e-05,-0.005281301870677989,7.818646432533582e-15
P_RM_R2,-1.6111070070959645,-0.22487556173085976,2.8849711698522347,7.782840934303441,-1.063156216496501,27.46602076574064,3.8015233413729357,5.773373395905876,-9.838777799854478,-0.3973017567799519,1.2520498909617672,-0.38348451830775965,0.10544701354699747,0.28793714801223547,-0.07926632602803432,-0.114368772123199,0.10358832163793016,-0.0019260010511032613,0.004588869098673119,0.0003618558664675131,0.0037965939269942166,7.8186464325336e-15
P_RM_R3,-6.345070542356998,-5.042654088247731,-0.2172665746431797,-1.9255217606085129,-4.9909401395594015,-1.420875912046405,-0.6732651951968501,-0.1933717973118445,-1.0083607430952986,-0.6585471086051754,-0.10049374241866169,-2.837300003969032,-0.8780473800755569,-7.418884216500666,8.601459076390247,3.2412761064443316,-1.9702151281251423,-2.083030668851691,-0.2075265624221383,-0.19573418037518175,-1.033427345828243,7.8186464325336e-15
F1_VM_R1,-4.280895568593892,-2.228744094730392,-1.6178562804193837,0.46991589109620246,15.959730609277008,-0.42532958442400787,-10.634292461549638,19.1610126451542,8.616955469024344,-2.734034986603331,-1.0957803291002273,-0.7958749018954122,-0.5580914352998134,-0.22977481081463685,0.03314317193027322,-0.05680865752265216,-0.017975843940766144,-0.03281426109199261,0.017062696332628524,0.024778249862804018,-0.004780473266216489,7.818646432533606e-15
F1_PIN_R1,4.894412485469002,45.64335082896511,-23.684372134269402,-9.186667427176038,-3.7546241415276636,0.47686973363769736,-0.8759379884769839,0.7806153849979159,-0.4925843835182497,-0.4423332727546677,0.1915679976025475,-0.019810677093858257,0.05760077513095844,-0.05944611144884643,0.05359649710325756,-0.029442575170664224,0.07005916951914193,-0.0035342402637224065,0.008312910272146692,-0.0036298115182382264,-0.0025538029091921577,7.818646432533593e-15
F1_PIN_R3,-5.325566486929932,-1.2859902748786953,-0.08108814754737641,-2.0108328027281863,2.2594364803877363,3.747989821751154,1.7912814857818367,-2.123596800107267,6.173301298431635,19.350661073064856,-8.002234746882511,-0.16328189164823828,-0.15145944470015688,0.17537767394028778,-0.09624435339863908,-0.1979347025896535,-0.4327072462236523,0.008714822519358097,-0.022191345124452103,-0.01490618024134124,-0.011139183780882455,7.818646432533596e-15
