sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
P_VM_R2,-6.909685546566672,-1.2285138363295949,-4.64541687124573,-3.734852907570952,-1.1594753133714395,-2.82592036451811,-1.2554922512724387,1.1122875059877826,-0.582786990042175,-0.8179972579312162,-0.5380341530506786,-1.4569659530418626,0.3576560203395357,1.5957421962830334,-0.30825708242317446,-1.0140565395558458,-2.6520364081604484,-6.79102533577466,6.6555917599068675,0.21245947175315366,-1.3846611396042892,-4.430203169020929e-10,-2.0274703159003464e-15,-3.32712528156729e-16,-3.1643311614265314e-17,-6.8652565878705595e-18,-3.511219273387297e-17
P_VM_R3,-7.128577697028017,-1.5028220336877072,-4.577553426317101,-3.925964030463926,-1.0808418670726652,-2.631813515643063,-0.5686330597566629,0.9060340586639655,0.049001559389479594,-1.5414467627456174,-0.8539074685362723,-2.3995979789018094,-0.7970804285233668,2.030658112009537,-3.4428266326516757,11.469666626913588,-2.2348026544048505,-0.1926949299376879,-1.6696951548849641,0.6609960389145559,-0.28441944139236935,1.006104162301709e-09,-2.0274703159003507e-15,-3.327125281567292e-16,-3.164331161426629e-17,-6.8652565878717806e-18,-3.5112192733873486e-17
P_PIN_R1,20.930510333188995,24.388817340002447,10.29722225500329,-16.136305035618975,-2.748466613613495,-0.3185866187160083,1.5369175383581466,-3.49220068163898,-1.9637795907045237,-10.739344001783088,7.463669602547819,1.8333807029888127,0.2873425426444804,0.008207595214478086,-0.05167805303160033,-0.07210773615880743,0.04941831374359027,0.009196052968390522,1.0105370077120435e-05,-0.02141206075501168,-0.004938818937399996,-4.4880279574425626e-09,-2.0274703159003515e-15,-3.3271252815672796e-16,-3.164331161426636e-17,-6.865256587871151e-18,-3.511219273387311e-17
P_PIN_R2,-1.5647512569424147,1.3579299929902882,-1.336046964895702,-4.536497486241143,4.555429295438555,13.449443578720881,0.20892881027304464,-14.472650673011415,-13.484340097274028,3.3522848586062093,-6.179925278736117,-0.09213396773997776,-0.40412284786110453,-0.333010257676241,-0.21651488623340104,0.012917683556582507,-0.10144571881233294,-0.021259468794912726,-0.048164951225282145,-0.01759718453424029,-0.030172123010786856,3.347682720658908e-10,-2.0274703159003515e-15,-3.3271252815672885e-16,-3.1643311614266066e-17,-6.8652565878709755e-18,-3.511219273387338e-17
P_PIN_R3,-7.1073189436199975,-1.7628208591460586,-4.109186965619722,-3.3231805011653797,-1.3861076889111892,-3.128951885576662,-0.14073061897971686,1.4274101000100639,-0.6406500967605288,-1.0614126443397827,-1.1989616406254164,1.6418794080759542,0.7635477677721703,-9.027539011376044,9.577054002419567,2.4427859112562818,-1.5669753879000539,0.7076032737068044,0.498693202701699,0.602745766086523,0.25075578899584205,9.316585700267433e-12,-2.027470315900352e-15,-3.3271252815672826e-16,-3.164331161426553e-17,-6.865256587870142e-18,-3.511219273387317e-17
P_RM_R1,22.196662462850096,28.17945193621946,3.7984050066085846,-2.5714668754608265,-3.3368681835629292,-5.791153469018632,0.4160270517234497,3.8045237600894732,3.2155700241798444,11.99759579485155,-8.007714197408706,-1.7548897734769582,-0.20325409521713228,0.007037813584993657,0.12900630679095476,0.13281579530550114,-0.013918063118182509,-0.002390984803498088,-0.03489434921416828,0.002768558233310091,-0.03465416711777273,5.576807237570196e-09,-2.027470315900352e-15,-3.3271252815672816e-16,-3.1643311614265974e-17,-6.865256587870684e-18,-3.5112192733873375e-17
P_RM_R2,1.1130046746172946,7.881106459643029,-5.0940907457224265,1.4128194311596671,4.744009201635715,23.40374022560222,-5.80352556460669,14.061623123811293,1.4993117781711935,-0.22235891266658153,2.205730538821987,-0.478866387742007,0.13113583190562575,-0.4407244730923545,-0.07006629745550898,0.04802298700498606,-0.16535378489220864,0.002507319293071667,-0.007615079986504576,0.006113407189462107,0.011099971971426153,2.300341854183737e-09,-2.027470315900349e-15,-3.327125281567277e-16,-3.164331161426585e-17,-6.86525658787085e-18,-3.511219273387294e-17
P_RM_R3,-6.909836082380275,-1.1037211266807387,-4.9940527311312914,-4.002810055023936,-0.6872858912070852,-1.5951508915166812,-1.4038151809531279,0.38966500502458123,-0.46150292371636403,-0.19482966430887946,0.48739309588476126,-2.827484493366712,-0.4042283951847632,10.336263350592663,8.125795889337773,-0.6426400540701236,1.6426154006672837,1.4784543844965294,-1.0631503982128065,-0.5825684500059504,-1.055006386748422,9.984784518495783e-10,-2.027470315900352e-15,-3.327125281567292e-16,-3.164331161426635e-17,-6.8652565878698446e-18,-3.511219273387358e-17
F1_VM_R1,-6.117282720864473,-1.4550403885810668,11.709829045193471,10.95853604446904,-11.823978780843197,1.7034307389790408,-1.9930041869366106,-0.4007531461836078,-0.8659785172745671,-0.679779191662469,-0.0020679340800058,-0.35961126812048216,-0.27242483612326573,0.09193704715864107,-0.00653592165284,-0.04193904499298286,-0.03298067307556206,0.02065444576159019,-0.022295870957785277,0.015291152004221016,-0.007935182177362067,1.0055327301298521e-10,-2.151783262439087e-15,-5.997072689905526e-16,4.208960287792915e-15,1.5788416402865716e-15,-4.888051839442733e-16
F1_VM_R2,-6.117282720864473,-1.4550403885810659,11.709829045193471,10.958536044469042,-11.823978780843197,1.7034307389790417,-1.9930041869366115,-0.4007531461836075,-0.8659785172745668,-0.6797791916624674,-0.002067934080007156,-0.3596112681204812,-0.27242483612326684,0.09193704715864134,-0.006535921652841453,-0.04193904499298365,-0.032980673075563675,0.020654445761591443,-0.022295870957784535,0.015291152004220687,-0.007935182177361555,1.0055328793312409e-10,-2.0867443212372984e-15,-1.344990727139257e-16,-7.223884046429242e-16,-4.3874675179716784e-15,9.955065841190521e-16
F1_VM_R3,-6.117282720864474,-1.4550403885810679,11.709829045193471,10.958536044469044,-11.823978780843197,1.7034307389790402,-1.9930041869366122,-0.400753146183607,-0.8659785172745674,-0.6797791916624694,-0.00206793408000737,-0.3596112681204827,-0.2724248361232672,0.09193704715863936,-0.006535921652840182,-0.041939044992983024,-0.032980673075565466,0.020654445761594746,-0.022295870957784767,0.015291152004220925,-0.007935182177362481,1.0055331940150816e-10,-1.8438833640246694e-15,-2.639312427657075e-16,-3.581501817992788e-15,2.788030107921494e-15,-6.120379783763992e-16
F1_PIN_R1,44.484848909803105,-27.33437050414766,-1.7810715560154007,-0.16552099828312547,-2.08444031380329,-1.7550916644015984,-2.3996305472950303,3.0117801631230043,-4.138856008560325,1.008066518315561,1.0719892574972139,0.020102982937397467,0.07854752754169952,0.10098986682546814,0.03391026625483347,0.1315592342466023,-0.10084803945728689,-0.011864777095738906,-0.025132324363192425,0.004182667451380642,0.003910366362629581,0.0008751338709990226,-2.0274703158989434e-15,-3.3271252815720133e-16,-3.1643311614237186e-17,-6.865256587919903e-18,-3.5112192733944934e-17
F1_PIN_R2,21.087723445518833,-15.198233126476149,-0.799543027810223,-1.1137743995162206,-0.014506423451898384,2.638585560909265,0.11181306802131276,-3.3256809675703387,6.481984989588078,-1.1258039603556804,-1.8197085609406998,-0.12784375271295678,-0.024132659326104127,-0.0583041294838318,-0.004120065246354799,-0.17585679493042708,0.010886452215846727,0.007382414050805674,0.00729482320261129,-0.009080661233527694,-0.00392571481960289,-0.001750246071353077,-2.0274703159031642e-15,-3.327125281557839e-16,-3.16433116143235e-17,-6.865256587772662e-18,-3.51121927337295e-17
F1_PIN_R3,-2.3099153148536513,-3.0617119604642653,0.1819117371614913,-2.061864959314642,2.055552411770102,7.032229128447838,2.6232927256232608,-9.663347245337796,17.1029097606117,-3.259820608225126,-4.71128007177268,-0.27574527135487287,-0.12681050056532836,-0.21761090766198807,-0.04216108072590513,-0.48328672283186397,0.1226303976328148,0.02663367236862341,0.03973986698297212,-0.022334111354715278,-0.011754171931353698,0.0008751201243729981,-2.0274703158989426e-15,-3.3271252815720014e-16,-3.16433116142372e-17,-6.865256587919681e-18,-3.511219273394541e-17
F1_RM_R1,-6.7973349856498295,-1.112687293982035,-4.799736585413924,-3.9102373535753085,-1.1494395570296652,-2.8077465626557,-1.5093760765750797,0.9841350256657698,-0.5796263547019176,-0.6713744929012618,-0.41424607033283195,-1.6740814433917492,-0.5062917435189758,1.5614526583747368,-0.5994314136346491,-1.5295819379759066,-0.014575514484432771,-0.7002483237246399,0.15811468350428917,1.397326854859492,7.01418669016319,-9.308380882533248e-10,-2.0274703159003507e-15,-3.327125281567274e-16,-3.164331161426613e-17,-6.865256587870436e-18,-3.5112192733874115e-17
F1_RM_R2,-7.122298695799188,-1.309610216949388,-5.392042856089278,-4.079913075017043,-1.4960102608175612,-3.3854558755434954,-1.6022779720966065,1.4079414156010217,-0.6678138542712486,-1.1165882371014035,-0.6050821369498007,-1.8197641430650657,-1.8974490575538883,-1.8759633424057227,-1.3765892530226345,-2.905027731949063,-0.48105484800470644,-2.7996735270811324,-4.463382976429458,-1.5555626601591273,-0.833117198946325,8.745691581697572e-10,-1.0286548784849449e-15,-3.0317602935040986e-15,-5.351099495398821e-17,6.382631220947364e-16,3.077895288972665e-15
F1_RM_R3,-7.1222986957991825,-1.3096102169493908,-5.392042856089277,-4.079913075017042,-1.4960102608175603,-3.3854558755434967,-1.6022779720966067,1.4079414156010217,-0.6678138542712506,-1.1165882371014024,-0.6050821369497997,-1.8197641430650655,-1.8974490575538874,-1.8759633424057218,-1.376589253022634,-2.905027731949061,-0.48105484800470455,-2.799673527081135,-4.463382976429458,-1.5555626601591277,-0.8331171989463269,8.74569502491274e-10,-3.0262857533157584e-15,2.366335237190644e-15,-9.77562827454538e-18,-6.519936352704788e-16,-3.148119674440412e-15
