sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
P_VM_R2,-5.6207281018229835,-5.1991919035267005,-0.1734952193809093,-1.2852268012908503,-5.93122638703769,-2.7630030898026963,-0.9960577003551634,-1.4338072059922005,-1.4234920216834017,-1.240354447030996,-0.9456326060572934,-1.4800802493998872,0.348699177362495,1.8164706443896745,-0.051933847860444395,-1.8524998448322567,-1.6404709190367346,-6.569346891635604,6.993947970011688,0.21548471120645793,-1.3852718100630625,-4.790226830878262e-10,1.4834994793906223e-15,-3.4340806271863e-15,-3.5099341276742324e-17,-4.0302514311976355e-18,-5.066204596987826e-17
P_VM_R3,-5.816489231869969,-5.270285129794402,-0.18535093287876683,-1.524895481387476,-5.9599524004647355,-2.708243746957218,-1.1688168769519438,-0.8535147243011546,-1.3787252622927213,-0.5417110892236453,-1.6734882742754698,-2.350237368810658,-0.8982975233053326,1.9406256531983255,-3.402603018538789,9.076181723724552,-7.475913373839579,-0.181724133698467,-1.583895203496844,0.6380939586938492,-0.30595216932786495,8.526196820839397e-10,1.4834994793906245e-15,-3.4340806271862975e-15,-3.50993412767416e-17,-4.030251431197943e-18,-5.0662045969876665e-17
P_PIN_R1,16.60785386344431,21.938484511213456,47.99850404362479,-3.5200048944279922,1.2955345374976965,-3.9536900422394208,-0.9231168287787079,0.255681637626385,-0.9027880216308175,0.23017782790397887,0.2141785300834088,0.14312840440527433,0.06428133355013035,-0.007792879587691204,0.009672412621527349,0.017468954511742192,0.014550676264649325,0.003047378196620966,-0.011615108570134211,-0.009546818024316438,-0.0126705610794599,-6.349792730466822e-10,1.4834994793906196e-15,-3.434080627186298e-15,-3.5099341276741277e-17,-4.0302514311980084e-18,-5.0662045969877016e-17
P_PIN_R2,-3.6918623710775913,-0.5308891715305548,2.8411612624853078,-0.1408379829352074,-4.3137762022057915,11.756280086528815,3.3781583507596746,1.9531285307301518,23.882192816885027,-8.340500481494743,-1.9280205387302558,0.38748143256447454,-0.23248722548837403,-0.2836069599347434,-0.1464131461519895,-0.06082751145393889,-0.11292948820111158,-0.014027296900345546,-0.03197461578015806,-0.01667982073215914,-0.02422914332938299,-1.4470783798999816e-10,1.4834994793906223e-15,-3.4340806271862955e-15,-3.509934127674111e-17,-4.030251431198019e-18,-5.066204596987708e-17
P_PIN_R3,-5.851587603702296,-5.222939851906713,-0.4776420307009564,-1.5753434667957678,-5.228410800704582,-3.181236887297103,-1.2376192507518828,-0.5421092322450731,-1.6242605212562913,-1.3963591312832744,-1.3847061858898553,1.2922027414790327,1.1481091163763286,-8.559033775222836,10.115876531098113,1.885286279241658,-1.9349117860215574,0.7695594400653453,0.5807741030610503,0.5960742675405519,0.23854643235679993,-8.066355204211744e-11,1.4834994793906241e-15,-3.4340806271862975e-15,-3.509934127674151e-17,-4.030251431199171e-18,-5.0662045969877515e-17
P_RM_R1,86.11693107672359,-12.998933803817541,-8.649278482302778,-4.034655296248786,-0.48566496961910827,0.05316066123937166,-0.19062476608894263,0.1438089337230618,0.22682694434243314,0.07175723951166804,-0.058724318846910886,-0.01802566736560883,0.00595720971715099,-0.0006857637250518162,0.011327719364092206,0.012544337820883858,-0.002791815802421492,0.0006545713188940572,-0.004781944420919751,-0.0010388767788020682,-0.005285211194397566,4.2219838075272445e-10,1.4834994793906133e-15,-3.434080627186297e-15,-3.509934127674115e-17,-4.030251431198301e-18,-5.066204596987717e-17
P_RM_R2,-0.7813972091857155,-0.5086162983173457,3.796681890379099,8.625097012581604,-4.724531192813687,24.090301212066173,17.622476534805752,1.6133581055090958,-11.790509079723833,-1.031662437114097,1.0793399230271894,-0.4550575869080068,0.088821779876199,-0.3212418822109269,-0.017245841429776594,-0.030937166942580526,-0.16048836956022516,0.006585507835374496,-0.004248493625796225,0.0023690720632200857,0.0022826552115988974,1.7079874654635371e-09,1.4834994793906198e-15,-3.4340806271862916e-15,-3.509934127674092e-17,-4.030251431198536e-18,-5.066204596987662e-17
P_RM_R3,-5.657753167458526,-5.175103964651344,-0.009337874840850283,-1.1241854886073839,-6.386370121469869,-1.8065907561516146,-0.6581765211257837,-1.3948044862031186,-0.7046791535892855,-0.613274002528542,0.05591482955855443,-2.710070716387028,-0.5227391440577557,10.55597228399,7.288361255782947,1.3134443846099186,3.360256194775975,1.4405761513872233,-1.1012310978596416,-0.5944615478508619,-1.0591421129216803,8.841200043136384e-10,1.4834994793906178e-15,-3.434080627186294e-15,-3.509934127674146e-17,-4.0302514311981925e-18,-5.0662045969878015e-17
F1_VM_R1,-5.166011443812284,-4.808116255764091,-1.5971864835180043,-1.1790907368139791,15.46395543690935,-6.9116359703465235,10.725471963186862,-0.4673175466162945,0.8373756979911433,-0.9062118618796923,-0.3932896208371717,-0.41253038012806037,-0.30930743110784553,0.1025447296112112,-0.002955501410489028,-0.05007663116251604,-0.010745735376260656,0.022009467842637343,-0.020683202064518017,0.014715174677914403,-0.00946716291242808,1.791038784123858e-10,2.3080490286781597e-15,-2.7864221266305144e-15,1.654021042405447e-16,3.1068971154065396e-16,-6.740837809765468e-15
F1_VM_R2,-5.166011443812283,-4.808116255764093,-1.597186483518005,-1.1790907368139798,15.46395543690935,-6.911635970346525,10.725471963186862,-0.4673175466162945,0.8373756979911446,-0.9062118618796927,-0.39328962083717256,-0.4125303801280614,-0.3093074311078446,0.10254472961121165,-0.0029555014104891988,-0.05007663116251916,-0.010745735376260229,0.022009467842638377,-0.020683202064517982,0.014715174677914961,-0.009467162912428849,1.7910391261777272e-10,1.5698324874477392e-15,-3.681989907306154e-15,1.1841756136287914e-15,-5.815304852381433e-15,3.0747104527104603e-15
F1_VM_R3,-5.166011443812283,-4.8081162557640935,-1.5971864835180056,-1.1790907368139798,15.46395543690935,-6.911635970346525,10.725471963186862,-0.46731754661629404,0.8373756979911434,-0.906211861879692,-0.39328962083717045,-0.41253038012806054,-0.3093074311078467,0.1025447296112111,-0.0029555014104891315,-0.05007663116251687,-0.010745735376262456,0.022009467842638644,-0.020683202064518385,0.014715174677913345,-0.009467162912428426,1.791038931351322e-10,5.726169220459705e-16,-3.833829847622215e-15,-1.4548757416995597e-15,5.492524386547185e-15,3.5141412191453762e-15
F1_PIN_R1,4.88315439380223,47.69970175372629,-19.911121032883372,-6.5130570516424635,-1.9802918003143009,-2.1179065815330027,1.2946760905768286,-1.902841327410688,-1.8892645265654788,-5.0057272920676406,1.82871810136803,-0.03760687648478906,0.0983029973992288,0.12560663899570276,0.049411592712006985,0.0830077316796567,-0.14251813312845116,-0.008433204019485798,-0.02135621087492784,0.0022982878533620078,0.0005235093584308652,0.0008759403906296113,1.4834994793908712e-15,-3.434080627186828e-15,-3.5099341276804034e-17,-4.0302514311886545e-18,-5.066204596991708e-17
F1_PIN_R2,0.03508317531422265,23.697029131337338,-10.37721898534389,-4.305256928657621,-1.526565241458799,0.890350589194279,1.0929972374656658,0.06385814416103235,1.6020691801119233,7.2293181508745405,-2.849700872549109,0.021450777445321825,-0.042979280255387345,-0.0729100063020036,-0.012152015149967253,-0.1586632312119472,0.08914075737938175,0.008152697534485456,0.007078380408396114,-0.010465878881948762,-0.005077193238120216,-0.001751859299457104,1.4834994793901224e-15,-3.434080627185228e-15,-3.5099341276616433e-17,-4.030251431218126e-18,-5.0662045969796534e-17
