sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
P_VM_R3,-6.410367116088512,-6.0886992051449615,-0.6211578387373577,-2.2414103485713848,-4.480617574019696,-2.5763731190313908,-0.44944568664700607,0.18755347157817354,-1.5999048204465671,-0.6252327587025601,-1.628609751989967,-2.6270386258442175,-1.180732542017032,-2.1236318984840223,-3.0540990881743015,3.854453651173443,10.179007357083188,-0.7219665292109891,1.0438843334503527,0.4676614145475099,-0.24403212336146574,7.930495161251873e-10,-5.547835910569466e-15
P_PIN_R1,14.439835811758869,18.505642504820926,45.285655166984974,-2.8383432825126356,-0.5499845370650568,-3.812007256379725,0.13920213426407446,1.079178635524671,-0.584626335965366,0.2703003637995136,0.21931595676412108,0.16365750706169396,0.06797641526228722,0.01607754907384085,0.00957871094907367,0.023572587416484447,-0.0015830798658068516,-0.010551362997133868,-0.00036272002935758827,-0.005286786841460408,-0.013256336462964771,-6.270639483450631e-10,-5.547835910569478e-15
P_PIN_R2,-4.3926513416022415,-1.557557949679534,2.5752396148047305,-0.7185822635232245,-0.7422004093859402,10.849544703593695,3.284141511657873,-10.7323049919498,19.348370503349066,-9.210538828600338,-2.231533222917334,0.4037050032651648,-0.2058968300269586,0.2200719358022326,-0.1814309106265627,-0.10345344499567374,0.06454526252273002,0.001592169196479273,0.021266974489524516,-0.016229643568517863,-0.028214136402787134,-2.5886892033775925e-10,-5.5478359105694785e-15
P_PIN_R3,-6.419072161014807,-5.988783554234356,-0.9129378830885561,-2.202255290398689,-3.8620611143738217,-3.075071981894214,-0.4519236962406469,0.6533260892882938,-1.763229912047613,-1.369518897682844,-1.5090202495230027,1.0209139772605713,0.0658597283726455,10.687511259083596,6.972468388209398,0.0751185379863089,2.174807130852364,-0.5132932589864464,-0.6251313786631878,0.7386104924241603,0.473622278447822,-5.473239122381917e-11,-5.5478359105694745e-15
P_RM_R1,79.38155320041172,-11.274573624519217,-8.359976056276274,-4.004159092099199,-0.18952626269806033,-0.048117479784168894,0.24164742367372993,-0.23510520398987866,0.1617083274717597,0.06511389693747766,-0.05878394371328691,-0.017125626175840254,0.00720015711882963,0.004465636542945141,0.009344806425706634,0.009891581577009806,0.00831328388935996,-0.0037081567638668853,0.0011871796407163563,6.498284945829348e-05,-0.005328661405691883,4.091443865097059e-10,-5.54783591056948e-15
P_RM_R2,-1.5551117818890092,-1.5741633457162005,3.406750453726541,7.878181693427651,-1.771900752527974,27.987563888388667,4.153336633979146,5.214364252422796,-9.983772109057501,-0.28947797093779976,1.1922055246513947,-0.40264753836814754,0.11420107715206845,0.29215435354081554,-0.07883049425136636,-0.11318501182310584,0.10790300994105681,-0.002697852374775034,0.004716483808763235,0.0004391026024732414,0.0036052488766131797,1.684891864763387e-09,-5.547835910569479e-15
P_RM_R3,-6.272111435727566,-6.034876631502452,-0.45832171173547304,-1.8914968123946432,-4.917213756942226,-1.5830239847923617,-0.7078819926731978,-0.2072041555716101,-1.0813158431984922,-0.793087140981827,-0.09863315103954651,-2.8926711744291147,-0.8827508125365641,-7.507197766684882,8.820662197596391,3.2648772778358075,-2.0273811919869718,-2.1276415599560345,-0.21308837443800657,-0.1982384150426439,-1.0545645067064728,7.824317241215246e-10,-5.547835910569476e-15
F1_VM_R1,-4.232162278153862,-2.998932743776298,-1.4653662726928514,0.7018427038469526,16.490787944435514,0.22973904033497586,-10.518145820050075,19.706561659671,8.061785456718733,-2.9945382909147877,-1.162472611922637,-0.806953379518738,-0.5640653128581231,-0.2357996326822603,0.03425671084514752,-0.05709747262209389,-0.017539768385805406,-0.032875919451063405,0.0174241212228969,0.025816575547332674,-0.004395797414392187,5.722965325024678e-10,-5.547835910569477e-15
F1_PIN_R1,3.278235784839733,44.90561305738145,-17.180585997118744,-5.992487278238439,-3.475199320139384,-0.6145873535167926,-1.1486437855835234,0.9800875624208432,-2.0040738998406864,-4.7790460115456375,1.6517091207222019,0.002791723339197377,0.10186634791408383,-0.08812415003652456,0.07148244930796668,0.01120689082231825,0.1503737653078268,-0.004058333554059558,0.012144888188370867,-0.0007387455764833518,0.00016091920309701664,0.0008180642155192361,-5.5478359105774515e-15
F1_PIN_R2,-1.0506404411490804,21.976916491144113,-9.08786158972179,-4.233387157388624,-1.1073162461949417,1.3190200463910158,0.15365524351788853,-0.23227904183277293,2.0530351426220528,6.854419594108419,-2.517179124901223,-0.04776116247276089,-0.06474353904310151,0.04115890918003,-0.018475241127700343,-0.08674399141285731,-0.13298056274791611,-0.0007280040652342855,-0.004734418492543716,-0.007448648707629125,-0.007155157904465044,-0.0016361084937276294,-5.547835910553544e-15
F1_PIN_R3,-5.379603070121098,-0.9522958084561931,-0.9949133254355479,-2.474027206466392,1.2606388314117773,3.25255447899991,1.455931443478569,-1.4447371360864698,6.110210554609576,18.488023746470073,-6.686058559148286,-0.09829443076232403,-0.231356565542185,0.17044943780770208,-0.10844434468308754,-0.1846998681695571,-0.41634889399678227,0.0026060180001460384,-0.021622504018015076,-0.014147181431001046,-0.014460893842165142,0.00081805151913722,-5.547835910577438e-15
F1_RM_R1,-6.144482258131937,-5.969204673574038,-0.5394349743729646,-1.9991042310474196,-4.9079856124911885,-2.4032716097699502,-1.062006078213458,0.1249461030068309,-1.5862238161547015,-1.23296565519049,-0.8341835783713186,-1.9208454327768132,-0.6726819473555842,-1.7061538061720962,-0.10526374452053479,-1.1994326765971812,-1.2611529769276268,1.209765649403287,2.15396489307598,-0.7909159086852117,6.358661287902832,-8.187311003691514e-10,-5.5478359105694785e-15
F1_RM_R2,-6.329912230091133,-6.186693824985565,-0.7091762190525407,-2.0022328415057586,-5.3273612204271075,-2.865211415544613,-1.0953105328663317,0.43265636252143924,-1.9589231263784421,-1.4830453579595275,-1.107624572950912,-1.8407042598534757,-1.9132031996107683,1.6515187946872991,-0.95051094281734,-2.535422424474842,-1.5615868909832773,1.2864043786376618,5.508481229340088,-3.7856543246965226,-2.862354587487937,1.3050798292850846e-09,-5.547835910569492e-15
